Timestamp,String_ID,G_front,G_rear,T_cell,Voltage_V,Current_A,Label
'2025-01-21 16:01:30,1,403.09,60.46,32.7,15.03,5.7351,Healthy
'2025-01-09 09:03:10,1,646.73,97.01,38.98,60.59,0.3583,Shading
'2025-01-15 12:50:20,2,958.63,143.79,47.33,98.34,0.1472,Shading
'2025-01-25 11:47:02,2,994.32,149.15,50.64,23.3,9.1039,Shading
'2025-01-27 08:39:25,2,529.6,79.44,37.78,25.51,4.1349,Shading
'2025-01-26 10:27:04,2,843.12,126.47,45.39,59.34,7.7808,Healthy
'2025-01-05 13:27:37,2,841.51,126.23,44.29,68.74,0.0,Short Circuit
'2025-01-06 16:20:05,2,380.36,57.05,30.91,4.64,5.982,Healthy
'2025-01-12 15:34:16,1,531.49,79.72,37.27,6.82,0.4239,Open Circuit
'2025-01-10 10:45:08,2,855.37,128.31,46.17,27.06,0.6849,Open Circuit
'2025-01-27 15:15:57,2,529.23,79.38,34.42,13.74,0.4216,Open Circuit
'2025-01-23 14:36:05,1,713.07,106.96,42.1,33.99,12.5391,Short Circuit
'2025-01-06 09:34:18,2,659.36,98.9,39.62,48.99,0.696,Shading
'2025-01-28 11:06:38,2,949.65,142.45,49.81,60.38,9.7823,Healthy
'2025-01-10 12:04:06,2,910.73,136.61,47.56,68.24,0.895,Shading
'2025-01-08 12:06:47,2,926.07,138.91,47.6,60.33,1.1213,Shading
'2025-01-06 13:44:58,1,851.75,127.76,45.42,13.61,13.3384,Healthy
'2025-01-26 09:11:21,1,613.5,92.02,36.77,54.69,0.4297,Shading
'2025-01-09 08:26:50,2,464.84,69.73,34.81,10.72,4.2602,Shading
'2025-01-23 07:04:45,1,263.93,39.59,29.52,29.14,0.1128,Open Circuit
'2025-01-06 16:28:53,2,313.08,46.96,30.31,26.15,0.247,Open Circuit
'2025-01-22 07:06:06,2,291.76,43.76,28.99,19.29,3.1358,Healthy
'2025-01-30 08:15:44,1,421.51,63.23,33.94,26.26,0.5648,Shading
'2025-01-12 12:04:54,1,949.4,142.41,48.96,88.17,0.4387,Shading
'2025-01-19 12:12:37,1,970.92,145.64,49.78,94.79,2.4083,Healthy
'2025-01-09 08:51:03,1,583.35,87.5,37.12,9.38,10.2352,Short Circuit
'2025-01-03 08:07:31,2,428.77,64.32,33.22,22.19,0.3414,Open Circuit
'2025-01-27 09:29:12,1,709.78,106.47,39.8,19.49,10.6352,Healthy
'2025-01-05 14:02:40,2,742.79,111.42,40.77,17.73,0.5934,Open Circuit
'2025-01-02 14:11:25,2,732.87,109.93,43.61,40.84,12.8958,Short Circuit
'2025-01-17 11:21:38,2,920.54,138.08,45.87,73.0,0.7294,Open Circuit
'2025-01-28 11:03:39,1,898.65,134.8,45.16,50.6,10.4673,Healthy
'2025-01-12 10:21:22,2,798.82,119.82,42.54,75.55,0.3833,Shading
'2025-01-30 10:40:20,1,847.48,127.12,45.44,48.49,1.172,Shading
'2025-01-17 11:33:42,2,950.41,142.56,50.01,65.85,0.7611,Open Circuit
'2025-01-26 12:33:51,1,920.82,138.12,48.9,37.86,0.7382,Open Circuit
'2025-01-14 09:39:01,1,701.84,105.28,40.73,27.15,9.8332,Healthy
'2025-01-30 16:42:12,2,333.09,49.96,30.87,27.94,2.4992,Healthy
'2025-01-16 10:07:57,1,816.87,122.53,45.47,5.69,7.8144,Shading
'2025-01-29 14:40:15,2,611.93,91.79,38.2,10.37,0.4883,Open Circuit
'2025-01-24 10:38:12,1,815.74,122.36,46.14,73.61,0.0,Short Circuit
'2025-01-25 07:41:26,1,395.05,59.26,30.18,43.33,0.5866,Healthy
'2025-01-15 10:48:03,2,832.08,124.81,45.81,45.42,1.1911,Shading
'2025-01-06 07:37:54,2,345.34,51.8,31.05,23.24,0.4345,Shading
'2025-01-03 11:35:48,1,976.64,146.5,50.72,94.83,0.2993,Shading
'2025-01-14 16:17:34,1,382.47,57.37,32.07,12.12,0.3043,Open Circuit
'2025-01-01 14:20:48,1,672.31,100.85,41.12,56.56,0.5398,Shading
'2025-01-27 13:09:51,1,837.83,125.67,47.11,73.45,4.526,Healthy
'2025-01-27 09:43:50,2,730.43,109.56,42.71,50.57,0.0,Short Circuit
'2025-01-18 11:27:30,2,892.98,133.95,47.65,83.44,0.4132,Shading
'2025-01-11 11:36:11,2,978.18,146.73,50.79,69.86,0.7827,Open Circuit
'2025-01-09 11:21:31,1,975.77,146.37,50.87,59.17,16.8015,Short Circuit
'2025-01-07 07:24:37,2,357.04,53.56,32.55,5.45,0.2842,Open Circuit
'2025-01-22 15:33:52,1,462.28,69.34,32.44,49.25,0.1133,Shading
'2025-01-22 12:12:10,1,947.94,142.19,47.21,70.3,7.8969,Healthy
'2025-01-08 15:16:23,1,559.18,83.88,37.51,34.0,9.8097,Short Circuit
'2025-01-09 14:10:01,1,698.36,104.75,41.42,76.31,0.1704,Healthy
'2025-01-12 07:56:33,1,404.48,60.67,33.97,19.87,3.1482,Shading
'2025-01-14 13:26:58,2,820.57,123.09,43.44,26.74,14.438,Short Circuit
'2025-01-26 15:32:48,1,458.75,68.81,33.32,40.67,0.0,Short Circuit
'2025-01-25 14:50:47,2,611.09,91.66,40.23,56.74,0.0,Short Circuit
'2025-01-10 15:41:22,2,515.17,77.27,36.9,25.59,9.0379,Short Circuit
'2025-01-12 16:51:53,1,329.4,49.41,28.91,2.03,5.2199,Healthy
'2025-01-28 16:09:38,1,432.24,64.84,32.2,29.84,0.0,Short Circuit
'2025-01-25 07:02:35,1,320.02,48.0,27.82,10.2,4.702,Healthy
'2025-01-28 07:57:33,1,426.86,64.03,32.25,47.03,0.0591,Shading
'2025-01-13 12:09:10,2,954.69,143.2,47.37,74.7,7.1113,Healthy
'2025-01-07 11:28:55,2,971.25,145.69,48.87,9.28,15.448,Healthy
'2025-01-08 13:19:27,2,883.94,132.59,47.57,16.09,8.2546,Shading
'2025-01-07 13:37:35,2,794.26,119.14,43.89,61.32,0.7577,Shading
'2025-01-06 09:09:19,1,649.34,97.4,38.02,43.66,6.5847,Healthy
'2025-01-10 12:52:11,1,916.9,137.53,49.0,16.61,16.173,Short Circuit
'2025-01-06 10:35:51,2,869.46,130.42,45.73,38.03,6.9801,Shading
'2025-01-04 16:51:08,2,266.18,39.93,26.41,11.78,3.6225,Healthy
'2025-01-18 13:43:34,2,784.29,117.64,43.22,70.88,0.59,Open Circuit
'2025-01-01 14:18:55,1,697.45,104.62,40.07,65.04,0.5133,Open Circuit
'2025-01-07 09:48:09,2,718.1,107.71,39.89,16.82,10.9525,Healthy
'2025-01-26 10:00:18,1,783.45,117.52,43.68,69.87,0.4968,Shading
'2025-01-26 14:32:07,1,639.81,95.97,39.49,19.48,5.6684,Shading
'2025-01-11 16:04:04,2,389.45,58.42,31.84,15.72,0.3099,Open Circuit
'2025-01-02 09:20:05,1,683.77,102.57,41.19,51.95,5.7386,Healthy
'2025-01-09 14:17:16,2,686.4,102.96,38.81,25.22,5.8526,Shading
'2025-01-03 11:01:47,1,900.22,135.03,48.44,76.99,5.2054,Healthy
'2025-01-24 15:08:32,2,578.1,86.71,36.69,4.87,10.141,Short Circuit
'2025-01-28 16:06:35,1,353.22,52.98,30.26,24.01,0.4403,Shading
'2025-01-22 12:10:08,1,966.35,144.95,47.75,14.26,17.0358,Short Circuit
'2025-01-23 13:44:16,1,843.95,126.59,44.12,14.98,13.1423,Healthy
'2025-01-26 12:21:18,1,945.74,141.86,47.82,64.49,1.0784,Shading
'2025-01-20 15:15:26,1,534.25,80.14,34.09,45.03,0.4204,Open Circuit
'2025-01-01 10:21:55,2,786.26,117.94,45.04,11.2,13.8442,Short Circuit
'2025-01-14 08:33:26,2,509.53,76.43,34.24,3.7,8.0834,Healthy
'2025-01-22 09:10:23,1,599.99,90.0,36.62,37.29,6.6252,Healthy
'2025-01-06 14:25:22,1,686.73,103.01,39.55,63.67,0.3931,Shading
'2025-01-01 12:56:41,2,937.61,140.64,48.59,47.2,0.7516,Open Circuit
'2025-01-20 14:52:31,1,622.15,93.32,37.47,9.16,9.7528,Healthy
'2025-01-15 13:41:45,2,839.43,125.91,46.15,11.22,7.9424,Shading
'2025-01-12 08:29:00,1,508.7,76.31,35.99,14.67,8.9209,Short Circuit
'2025-01-14 15:20:39,2,514.95,77.24,36.97,56.48,0.0486,Shading
'2025-01-04 07:36:45,1,315.25,47.29,28.43,11.94,0.2504,Open Circuit
'2025-01-10 09:07:01,1,572.66,85.9,38.52,18.01,5.049,Shading
'2025-01-08 12:41:15,2,924.27,138.64,49.29,72.15,0.7342,Open Circuit
'2025-01-13 08:26:05,1,503.59,75.54,35.32,36.57,0.5655,Shading
'2025-01-01 07:09:50,2,343.41,51.51,30.67,6.1,3.1993,Shading
'2025-01-17 08:24:35,1,514.74,77.21,33.77,40.58,0.0,Short Circuit
'2025-01-02 08:51:57,2,611.76,91.76,36.9,20.0,5.3547,Shading
'2025-01-18 16:01:20,2,389.21,58.38,30.78,30.05,0.0,Short Circuit
'2025-01-17 10:28:16,2,828.3,124.24,44.71,82.7,0.0,Short Circuit
'2025-01-24 13:30:25,2,861.79,129.27,43.92,35.81,0.6894,Open Circuit
'2025-01-03 16:00:22,2,434.2,65.13,31.41,25.43,0.6124,Shading
'2025-01-14 08:26:57,1,511.6,76.74,34.89,1.22,8.9673,Short Circuit
'2025-01-20 12:45:44,1,967.86,145.18,47.57,24.21,17.0611,Short Circuit
'2025-01-29 13:40:56,1,797.53,119.63,43.32,67.49,0.0,Short Circuit
'2025-01-28 07:55:06,1,408.01,61.2,32.41,21.49,7.1436,Short Circuit
'2025-01-02 16:24:31,2,335.4,50.31,30.3,14.57,5.8667,Short Circuit
'2025-01-26 13:36:13,1,865.58,129.84,45.58,79.62,0.4558,Shading
'2025-01-13 14:55:23,1,637.51,95.63,38.27,58.04,0.484,Open Circuit
'2025-01-16 11:32:33,2,901.1,135.17,48.93,60.67,0.0,Short Circuit
'2025-01-17 15:39:44,1,436.53,65.48,34.24,38.51,0.0,Short Circuit
'2025-01-28 08:35:41,2,568.02,85.2,36.63,53.54,0.0,Short Circuit
'2025-01-11 08:16:16,2,509.45,76.42,36.94,57.14,0.0191,Open Circuit
'2025-01-03 10:48:47,1,882.56,132.38,44.75,51.13,0.7062,Open Circuit
'2025-01-01 09:04:56,2,571.59,85.74,37.3,30.16,10.0296,Short Circuit
'2025-01-02 14:43:27,2,693.15,103.97,39.85,4.69,12.1765,Short Circuit
'2025-01-17 10:37:18,1,876.05,131.41,46.08,71.42,6.0013,Healthy
'2025-01-20 09:51:36,1,747.11,112.07,42.22,61.92,0.0,Short Circuit
'2025-01-15 11:41:56,1,902.78,135.42,48.24,93.44,0.9317,Healthy
'2025-01-03 14:51:58,1,606.89,91.03,39.72,2.4,5.8075,Shading
'2025-01-01 14:45:30,2,629.1,94.37,40.83,18.92,11.0562,Short Circuit
'2025-01-12 07:21:20,1,345.42,51.81,31.06,20.02,4.1053,Healthy
'2025-01-28 07:07:58,2,310.41,46.56,29.97,22.23,0.2466,Open Circuit
'2025-01-20 14:08:00,1,794.67,119.2,43.77,80.85,0.4061,Open Circuit
'2025-01-04 10:40:21,1,854.45,128.17,44.11,32.48,7.1951,Shading
'2025-01-10 16:52:48,2,269.49,40.42,27.09,16.35,3.1267,Healthy
'2025-01-09 12:46:20,2,925.03,138.75,48.68,34.14,13.0585,Healthy
'2025-01-13 07:30:51,2,316.88,47.53,28.39,0.56,3.02,Shading
'2025-01-23 11:15:05,2,940.36,141.05,47.17,36.64,13.0727,Healthy
'2025-01-04 16:29:13,1,321.32,48.2,30.91,10.45,2.8231,Shading
'2025-01-11 13:19:56,2,891.8,133.77,48.5,81.7,0.6451,Open Circuit
'2025-01-02 14:27:53,1,647.29,97.09,38.2,42.68,7.3465,Short Circuit
'2025-01-18 12:57:49,1,872.48,130.87,47.89,79.26,0.4745,Shading
'2025-01-06 09:00:16,2,559.73,83.96,35.82,41.52,5.0476,Healthy
'2025-01-15 09:53:01,2,730.94,109.64,41.25,35.82,12.8484,Short Circuit
'2025-01-14 13:56:25,1,824.85,123.73,44.47,67.77,5.6337,Healthy
'2025-01-16 14:10:12,1,723.01,108.45,39.91,17.23,0.5773,Open Circuit
'2025-01-06 12:05:00,2,980.54,147.08,49.05,40.86,7.9857,Shading
'2025-01-07 15:19:23,1,545.8,81.87,37.15,17.65,0.4353,Open Circuit
'2025-01-08 16:44:15,1,323.58,48.54,28.93,4.28,3.0454,Shading
'2025-01-09 08:28:44,1,478.39,71.76,35.83,8.97,4.4497,Shading
'2025-01-25 07:09:33,1,284.9,42.74,28.38,25.81,1.7864,Healthy
'2025-01-18 09:08:51,1,604.09,90.61,37.81,68.09,0.0,Open Circuit
'2025-01-14 15:19:04,2,522.71,78.41,37.35,0.45,5.0027,Shading
'2025-01-09 13:36:46,1,809.65,121.45,45.17,57.45,0.0,Short Circuit
'2025-01-09 08:24:01,1,532.22,79.83,34.89,0.77,5.0876,Shading
'2025-01-10 14:33:35,2,660.55,99.08,38.74,47.11,6.1997,Healthy
'2025-01-08 08:44:01,2,567.55,85.13,38.22,52.35,0.4276,Open Circuit
'2025-01-01 08:49:51,2,580.66,87.1,37.01,4.68,5.5281,Shading
'2025-01-22 13:24:41,1,813.89,122.08,43.95,42.89,14.3238,Short Circuit
'2025-01-09 14:19:09,2,690.74,103.61,42.24,15.55,10.5795,Healthy
'2025-01-01 07:41:21,1,396.78,59.52,33.28,44.49,0.0,Short Circuit
'2025-01-16 10:49:39,1,929.44,139.42,47.1,0.05,0.7446,Open Circuit
'2025-01-03 15:11:31,1,590.49,88.57,39.09,59.0,1.8461,Healthy
'2025-01-15 10:40:10,2,859.94,128.99,44.04,62.34,7.6104,Healthy
'2025-01-17 11:56:01,1,940.38,141.06,46.41,2.71,9.0306,Shading
'2025-01-24 15:46:53,2,470.62,70.59,32.22,12.38,7.0924,Healthy
'2025-01-15 16:23:45,1,315.56,47.33,31.26,33.57,0.0905,Shading
'2025-01-10 11:38:20,2,974.21,146.13,49.36,68.76,0.7795,Open Circuit
'2025-01-08 16:28:10,2,384.25,57.64,31.36,3.96,6.7245,Short Circuit
'2025-01-15 14:27:46,1,710.16,106.52,39.31,48.64,6.9945,Healthy
'2025-01-10 07:45:43,2,369.41,55.41,31.5,28.82,3.1709,Healthy
'2025-01-19 09:17:27,2,648.26,97.24,40.01,22.1,11.3888,Short Circuit
'2025-01-07 11:52:04,1,932.53,139.88,48.45,34.23,0.7475,Open Circuit
'2025-01-25 10:44:56,2,836.05,125.41,45.78,61.38,7.2099,Healthy
'2025-01-14 14:39:04,1,650.93,97.64,39.04,63.16,0.4512,Open Circuit
'2025-01-28 14:11:22,2,759.82,113.97,42.14,11.84,7.1405,Shading
'2025-01-29 12:34:16,2,887.98,133.2,47.93,22.56,0.7116,Open Circuit
'2025-01-21 12:53:16,1,902.91,135.44,45.14,1.97,0.7227,Open Circuit
'2025-01-21 15:05:17,1,561.43,84.22,36.94,15.12,5.0633,Shading
'2025-01-25 07:06:58,1,319.11,47.87,30.44,36.5,0.0,Short Circuit
'2025-01-25 11:35:04,2,919.41,137.91,47.08,85.12,0.4501,Shading
'2025-01-11 16:03:25,2,396.15,59.42,33.24,6.06,6.9386,Short Circuit
'2025-01-29 10:32:05,1,844.3,126.65,44.17,59.04,0.0,Short Circuit
'2025-01-12 11:23:58,2,924.21,138.63,46.42,38.67,7.5336,Shading
