Fault_Type,Fault_Location,Severity_Level,Module_Age_Years,Rectification_Action,Previous_Rectification_Action,Irradiance,Weather_Condition,Timestamp,String_Num,Panel_Num,Repair_Cost,Downtime_Hours,Energy_Loss_Cost,Total_Cost
Hotspot,String-9_Panel-20,High,12,Replace Module,Remove Obstruction,211,Cloudy,2023-01-01 00:00:00,9,20,532.68,5.25,0.329,533.0089999999999
Open Circuit,String-3_Panel-14,High,5,Replace Wiring,Replace Fuse,221,Cloudy,2023-01-01 00:00:00,3,14,161.29,1.53,0.1,161.39
Shadowing,String-8_Panel-13,High,10,Remove Obstruction,Tighten Connection,424,Cloudy,2023-01-01 01:00:00,8,13,50.51,0.48,0.022,50.532
Short Circuit,String-6_Panel-8,Medium,6,Replace Fuse,Replace Fuse,597,Rainy,2023-01-01 02:00:00,6,8,55.91,0.55,0.036,55.946
Open Circuit,String-6_Panel-11,Low,10,Tighten Connection,Clean Panel,739,Sunny,2023-01-01 02:00:00,6,11,40.21,0.57,0.03,40.24
Shadowing,String-3_Panel-10,Critical,2,Reinstall Module,Replace Fuse,671,Cloudy,2023-01-01 02:00:00,3,10,186.25,3.13,0.136,186.386
Open Circuit,String-5_Panel-6,Low,6,Tighten Connection,Tighten Connection,516,Cloudy,2023-01-01 04:00:00,5,6,42.81,0.5,0.03,42.84
Shadowing,String-3_Panel-2,Medium,1,Remove Obstruction,Tighten Connection,374,Cloudy,2023-01-01 04:00:00,3,2,47.28,0.57,0.036,47.316
Open Circuit,String-7_Panel-12,Critical,3,Replace Module,Replace Module,274,Cloudy,2023-01-01 05:00:00,7,12,502.18,5.75,0.306,502.486
Shadowing,String-6_Panel-17,Low,13,Remove Obstruction,Remove Obstruction,729,Rainy,2023-01-01 05:00:00,6,17,51.46,0.52,0.031,51.491
Open Circuit,String-8_Panel-6,Medium,6,Replace Connector,Adjust Tilt,308,Sunny,2023-01-01 09:00:00,8,6,105.42,0.95,0.047,105.467
Hotspot,String-1_Panel-2,Critical,7,Replace Module,Adjust Tilt,237,Cloudy,2023-01-01 09:00:00,1,2,486.15,6.44,0.3,486.45
Hotspot,String-3_Panel-13,Low,6,Clean Panel,Reinstall Module,663,Sunny,2023-01-01 11:00:00,3,13,29.73,0.27,0.013,29.743000000000002
Hotspot,String-3_Panel-18,Medium,8,Inspect Cells,Inspect Cells,665,Sunny,2023-01-01 13:00:00,3,18,89.42,1.09,0.068,89.488
Shadowing,String-3_Panel-2,Critical,14,Replace Module,Reinstall Module,339,Sunny,2023-01-01 17:00:00,3,2,471.28,6.39,0.396,471.676
Shadowing,String-6_Panel-16,Medium,4,Remove Obstruction,Remove Obstruction,877,Cloudy,2023-01-01 18:00:00,6,16,50.93,0.51,0.025,50.955
Short Circuit,String-1_Panel-12,Critical,13,Replace Module,Clean Panel,385,Rainy,2023-01-01 18:00:00,1,12,556.25,6.16,0.288,556.538
Shadowing,String-1_Panel-6,Medium,7,Remove Obstruction,Inspect Junction Box,638,Cloudy,2023-01-01 19:00:00,1,6,50.27,0.52,0.03,50.300000000000004
Short Circuit,String-3_Panel-4,Critical,2,Replace Module,Replace Module,917,Rainy,2023-01-01 20:00:00,3,4,459.38,5.77,0.306,459.686
Hotspot,String-6_Panel-19,High,4,Replace Panel Section,Replace Wiring,426,Cloudy,2023-01-01 20:00:00,6,19,303.64,3.87,0.173,303.813
Short Circuit,String-10_Panel-12,Critical,2,Replace Module,Replace Module,396,Cloudy,2023-01-01 21:00:00,10,12,483.98,6.7,0.372,484.35200000000003
